cue_id	mission	phase	speaker	direction	line
M01_SCENE_PROLOGUE_01_GUESS	M01	prologue	GUESS	Alone at the terminal curb; phone, walk to the car, get in	Los Santos. Same heat coming off the runway. Fifteen years and the city didn't wait for me.
M01_SCENE_PROLOGUE_02_GUESS	M01	prologue	GUESS	Alone at the terminal curb; phone, walk to the car, get in	Two numbers in this phone I ain't dialed since graduation. Guess I'll find out if either one still works.
M01_SCENE_PROLOGUE_03_GUESS	M01	prologue	GUESS	Alone at the terminal curb; phone, walk to the car, get in	Voicemail. Both of them. Same as it ever was.
M01_SCENE_PROLOGUE_04_GUESS	M01	prologue	GUESS	Alone at the terminal curb; phone, walk to the car, get in	Car's where the man said it would be. Half a tank. That'll get me across town.
M01_SCENE_ARRIVAL_01_GUESS	M01	arrival	GUESS	Alone at the apartment door; out of the car, walk to the door	Home. Or the closest thing I've got to one until I'm working again.
M01_SCENE_CALL_01_GUESS	M01	call	GUESS	Alone in the starter apartment; the message arrives (at the door if the room does not load)	Unknown number. A yard on Terminal Island, one car, half the money up front. No names.
M01_SCENE_CALL_02_GUESS	M01	call	GUESS	Alone in the starter apartment; the message arrives (at the door if the room does not load)	Somebody knew I was back before I did. I'm going anyway.
M01_SCENE_CALL_03_GUESS	M01	call	GUESS	Alone in the starter apartment; the message arrives (at the door if the room does not load)	Bag stays packed. Keys. Whatever this is, I'm not unpacking for it.
M01_SCENE_INTRO_01_GUESS	M01	intro	GUESS	Private channel; no recognition or shared conversation	Terminal Island. Two in the morning. They sent me a gate code, a photograph and half the money. That's usually the part where I should ask more questions.
M01_SCENE_INTRO_02_GUESS	M01	intro	GUESS	Private channel; no recognition or shared conversation	I'm outside the freight entrance in my own car. One pickup inside the yard. Keep it quiet, get paid, go home.
M01_SCENE_INTRO_03_GOHAN	M01	intro	GOHAN	Private channel; no recognition or shared conversation	Different client, same dockyard. The laptop at the west service station holds Mateo's payment ledger. It's separate from his meeting point. I'm at the service entrance; I need to reach it before the security shift.
