cue_id	mission	stage	speaker	direction	line	trigger
M01_S1_01_ICE	M01	1	ICE	Quiet; watching the target from dock cover	Eyes on Mateo. He is checking a shipment with a dock technician. Keep him alive; the buyers are the real target.	Ice identifies Mateo through aim
M01_S1_02_GOHAN	M01	1	GOHAN	Focused; working the dock terminal	Dock terminal is open. Copying the ledger. Just need a few seconds without an alarm.	Gohan begins the eight-second data copy
M01_S1_03_GUESS	M01	1	GUESS	Muffled, tools clinking	Bay two. Keys are in the prototype. Someone expected a driver tonight. I am in.	Guess takes the actual prototype driver seat
M01_S2_04_GOHAN	M01	2	GOHAN	Yelling over automatic gunfire	Alarm tripped! I've only got part of the ledger! Shooters coming into the yard!	Reference recognition line; replaced by the authored recognition scene
M01_S2_05_ICE	M01	2	ICE	Lowering scope in shock	Wait... that voice. Devin? Gohan? What the hell are you doing in this yard?	Reference recognition line; replaced by the authored recognition scene
M01_S2_06_GUESS	M01	2	GUESS	Engine roaring through comms	Yo! Why am I hearing my high school graduation on my tactical radio?! Ice?! Gohan?!	Radio recognition
M01_S3_07_ICE	M01	3	ICE	Frustrated; rallying the others	Mateo reached the launch. We have his ledger; we can follow the money. Get to the car!	Mateo escapes after the firefight
M01_S3_08_GUESS	M01	3	GUESS	Tires screaming, passenger door kicked open	Get in! The entire port authority is rolling! Fifteen years and this is how we catch up?!	Gate smash extraction
M01_S3_09_GOHAN	M01	3	GOHAN	Panting, slamming drive on dash	The copy is here, but half the entries are encrypted. Their security recorded all three of us. We need somewhere to open this.	Freeway getaway
M02_S1_01_GOHAN	M02	1	GOHAN		That van has the dock footage. Keep me close enough to punch into their signal and I can kill the upload. Three minutes before our faces land.	Pursuit begins; Gohan already seated
M02_S1_02_GUESS	M02	1	GUESS		Black Rumpo. Satellite dome. I see it. Just keep doing whatever the hell you're doing back there.	Chase car closes to the van
M02_S2_03_ICE	M02	2	ICE		Halfway. They found the intrusion - guns in the windows! Keep working, Gohan. I'll cover our side.	Remote hack reaches 50 percent
M02_S2_04_GOHAN	M02	2	GOHAN		I'm in. Upload cut, ignition disabled. The server's intact. Ice, take the drives.	Remote hack reaches 100 percent
M02_S2_05_ICE	M02	2	ICE	Kicking rear doors off hinges	Hands on your neck! Unplug that rack or I ventilate your chest!	Hard drive seizure
M02_S2_06_GUESS	M02	2	GUESS		Aegis chopper overhead! Dive down the storm canal ramp-hold on!	Aqueduct escape
M03_S1_01_GUESS	M03	1	GUESS		Rail junction locked. Their backup route is delayed. Ice, the depot approach is yours.	Matching playable objective event in M03
M03_S1_02_ICE	M03	1	ICE		Rail route's blocked. I'm moving on the depot. Gohan, stay ready for that truck.	Matching playable objective event in M03
M03_S2_03_ICE	M03	2	ICE	Firing Combat MG in bursts	Guards first. Nobody starts loading while they're shooting at the terminal.	Matching playable objective event in M03
