key	x	y	z	heading	kind	status	district_hint
M01.IceApproach	964.0	-3250.0	6.0	35	land	estimate	Terminal Island Dry-Docks
M01.CraneNest	976.6	-3239.5	6.0	35	land	estimate	Terminal Island Dry-Docks
M01.YachtDeck	1017.0	-3182.0	6.0	0	land	estimate	Terminal Island Dry-Docks
M01.ServiceTerminal	968.0	-3188.0	6.0	0	land	estimate	Terminal Island Dry-Docks
M01.WarehouseBay	1057.0	-3202.0	6.0	90	land	estimate	Terminal Island Dry-Docks
M01.PrototypeCar	1053.0	-3205.0	5.9	270	land	estimate	Terminal Island Dry-Docks
M01.CapoSpawn	1019.0	-3184.0	6.0	0	land	estimate	Terminal Island Dry-Docks
M01.LaunchEscape	1140.0	-3320.0	0.0	0	water	estimate	Terminal Island Dry-Docks
M01.RegroupPoint	1073.0	-3160.0	5.9	0	land	estimate	Terminal Island Dry-Docks
M01.ExitPoint	1180.00	-2990.00	5.90	0	land	estimate	Terminal Island Dry-Docks
M01.GuessApproach	1175.0	-3090.0	6.0	180	land	estimate	Terminal Island Dry-Docks
M01.GohanApproach	965.0	-3110.0	6.0	180	land	estimate	Terminal Island Dry-Docks
SM01.WarehouseGate	1034.580	-3036.400	5.900	85.3	land	surveyed	Terminal Island; Ron's in-game placement, September 13, 2026 (the loading lane and the yard north of it)
SM01.SergeiOffice	1005.540	-2997.990	5.900	87.7	land	surveyed	Terminal Island; Ron's in-game placement, September 13, 2026 (the loading lane and the yard north of it)
SM01.CrateLoad	1039.910	-3050.700	5.900	167.1	land	surveyed	Terminal Island; Ron's in-game placement, September 13, 2026 (the loading lane and the yard north of it)
M02.InterceptStart	102.0	-1810.0	27.0	60	land	estimate	East Los Santos / Olympic Fwy
M02.CanalEscape	285.0	-1900.0	24.0	0	land	estimate	East Los Santos / Olympic Fwy
M03.RailJunction	180.0	-1900.0	24.0	90	land	estimate	Davis
M03.DepotGate	1270.00	-1940.00	40.00	0	land	estimate	Cypress Flats / Murrieta Fields
M03.CraneControls	1286.00	-1956.00	40.00	0	land	estimate	Cypress Flats / Murrieta Fields
M03.HaulerSpawn	1254.00	-1928.00	40.00	180	land	estimate	Cypress Flats / Murrieta Fields
M04.GarageEntry	233.0	-800.0	30.0	0	land	estimate	Pillbox Hill / Textile City
M04.Breaker	254.10	-828.48	29.70	110.5	land	surveyed	Pillbox Hill, the lot breaker (Ron, September 12)
M04.RampGuards	240.0	-805.0	30.0	0	land	estimate	Pillbox Hill / Textile City
M04.ChaseCar	250.0	-790.0	30.0	250	land	estimate	Pillbox Hill / Textile City
M04.TextileCrash	80.0	-1080.0	29.0	0	land	estimate	Pillbox Hill / Textile City
M05.CliffPerch	2458.90	-993.31	120.49	190.7	land	surveyed	Palomino Highlands, Ice's perch (Ron, September 12)
M05.CoveAir	2630.0	-1190.0	0.0	0	water	estimate	Pacific Ocean, the flare point off the dinghy
M05.GrottoMouth	2536.4	-1258.14	1.77	187.8	water	surveyed	Palomino Highlands, Mateo's boat off the beach (Ron, September 12)
M05.Sandbar	2700	-1200	0	0	water	estimate	Pacific Ocean, shallow capture point; replaces the old inland estimate
M05.DinghySpawn	2663.2	-1161.7	1.3	187	water	surveyed	Palomino Highlands, the dinghy on the water (Ron, September 12)
M06.Culvert	-1180.0	-1350.0	4.0	0	land	estimate	Vespucci Canals LSPD Depot
M06.Feeder	-1208.19	-1328.63	4.85	24.2	land	surveyed	Vespucci Canals, the power box (Ron, September 12)
M06.SallyPort	-1170.28	-1276.46	5.57	283.4	land	surveyed	Vespucci Canals LSPD Depot
M06.ServerRacks	-1128.0	-1290.0	5.0	0	land	estimate	Vespucci Canals LSPD Depot
M06.AlleyHold	-1150.0	-1275.0	5.0	0	land	estimate	Vespucci Canals LSPD Depot
M06.GrangerSpawn	-1420.0	-1240.0	4.0	90	land	estimate	Vespucci Beach, staged away from the depot
M07.GarageRoof	-805.38	-617.22	96.2	57.2	land	surveyed	Rockford Hills, the relay roof (Ron, September 12)
M07.MastTop	-801.5	-614.5	96.2	57.2	land	surveyed	Rockford Hills, the antenna platform on the relay roof
M07.LandingZone	-831.94	-638.16	27.20	59.3	land	surveyed	Rockford Hills, Ron's pickup below the roof (Ron, September 12)
M08.WarehouseGate	240.0	-2900.0	6.0	0	land	estimate	Port of Los Santos Elysian Island
M08.CameraRoom	235.000	-2919.400	5.980	0	land	estimate	Elysian Island / security cabin exterior CCTV cabinet; CodeWalker ground checked, awaiting live survey
M08.CratePadOne	291.000	-2941.000	5.951	0	land	estimate	Elysian Island / Elysian loading apron; CodeWalker geometry checked, awaiting live survey
M08.CratePadTwo	301.000	-2931.000	5.960	0	land	estimate	Elysian Island / Elysian loading apron; CodeWalker geometry checked, awaiting live survey
M08.HaulerSpawn	248.0	-2952.0	6.0	90	land	estimate	Forklift apron fallback; runtime follows forklift road snap unless manually surveyed
M08.Connector	90.0	-2620.0	6.0	0	land	estimate	Port of Los Santos Elysian Island
SM02.RoofAccess	-1090.000	-256.000	57.924	270	land	estimate	Offline collision checked; live survey pending
SM02.ServerBay	-1078.000	-246.000	57.922	90	land	estimate	Offline collision checked; live survey pending
SM02.Terminal	-1082.000	-254.000	57.922	180	land	estimate	Offline collision checked; live survey pending
SM02.Exit	-1098.000	-266.000	37.620	0	land	estimate	Offline collision checked; live survey pending
SM03.StartLine	556.250	-1700.000	29.013	51.66665989090137	land	estimate	Innocence Blvd street grid; northbound freeway sprint
Base.CypressFlats	866.0	-2110.0	30.5	175	land	estimate	
Stash.CrewVan	858.000	-2116.000	30.664	175	land	estimate	CodeWalker collision-checked building approach; live door survey still available
M09.HeliSpawn	1520.00	3140.00	40.00	180	land	estimate	Grand Senora Desert
M09.ConvoyStart	1180.00	2650.00	38.00	270	land	estimate	Grand Senora Desert
M09.AmbushPoint	487.000	2681.250	43.079	90	land	estimate	Harmony road, rear escort stop; CodeWalker geometry checked, awaiting live survey
M09.Bunker	1975.000	3035.000	47.056	90	land	estimate	Grand Senora Desert / Desert staging apron, clear center; CodeWalker geometry checked, awaiting live survey
M09.Pickup	525.000	2740.000	44.120	270	land	estimate	Harmony open landing patch; CodeWalker geometry checked, awaiting live survey
M10.ConvoyStart	-1360.00	-620.00	27.00	30	land	estimate	Del Perro
M10.BridgePoint	-1503.000	-795.500	18.095	60	land	estimate	Del Perro / Existing route, corrected road support; CodeWalker geometry checked, awaiting live survey
M10.TunnelMouth	121.500	-1871.000	24.136	120	land	estimate	Davis / Existing route, corrected road support; CodeWalker geometry checked, awaiting live survey
M11.ChopShop	850.000	-2090.000	30.172	90	land	estimate	Cypress Flats / Foundry north service apron, portable tuning bay; CodeWalker checked, live survey pending
M11.DynoPad	850.000	-2090.000	30.172	90	land	estimate	Cypress Flats / Foundry north service apron; CodeWalker checked, live survey pending
M12.SouthJetty	1120.000	-3340.000	5.000	180	land	estimate	Terminal / SouthJetty; map preflight, live survey pending
M12.FreighterHull	1100.000	-3380.000	-8.000	0	water	estimate	Terminal / FreighterHull; map preflight, live survey pending
M12.SonarBuoy	1140.000	-3380.000	-4.000	0	water	estimate	Terminal / SonarBuoy; map preflight, live survey pending
M12.PierWatch	1108.000	-3334.000	5.000	180	land	estimate	Terminal / PierWatch; map preflight, live survey pending
M13.KayakLaunch	-900	-1580	0.000	315	water	estimate	La Puerta / KayakLaunch; map preflight, live survey pending
M13.BargeOne	-1020.000	-1720.000	0.000	315	water	estimate	La Puerta channel; water and seabed sampled; runtime full-hull clearance
M13.BargeTwo	-920.000	-1600.000	0.000	315	water	estimate	La Puerta channel; water and seabed sampled; runtime full-hull clearance
M13.BargeThree	-820.000	-1520.000	0.000	315	water	estimate	La Puerta channel; water and seabed sampled; runtime full-hull clearance
M13.CanalSlipway	-950.000	-1500.000	5.169	270	land	estimate	La Puerta / CanalSlipway; map preflight, live survey pending
M14.OverwatchRidge	1640.000	3180.000	43.629	30	land	estimate	Grand Senora Desert / OverwatchRidge; map preflight, live survey pending
M14.HangarDoor	1730	3292	41.223	120	land	estimate	Grand Senora Desert / HangarDoor; map preflight, live survey pending
M14.PlaneSpawn	1740.00	3280.00	41.00	120	land	estimate	Grand Senora Desert / PlaneSpawn; map preflight, live survey pending
M14.McKenzieHangar	2120.00	4780.00	41.00	160	land	estimate	Grapeseed / McKenzieHangar; map preflight, live survey pending
M15.AdminEntry	1084.160	-3035.120	5.530	356.5	land	estimate	User requested arrival/extraction; underlying map floor 4.901m
M15.MaintenanceVault	1136.000	-3100.000	5.900	180	land	estimate	Terminal / MaintenanceVault; map preflight, live survey pending
M15.FiberSplice	1142.000	-3101.000	5.900	180	land	estimate	Terminal / FiberSplice; map preflight, live survey pending
M15.Exit	1084.160	-3035.120	5.530	356.5	land	estimate	User requested arrival/extraction; underlying map floor 4.901m
M16.DepotFence	-2626.000	2852.250	16.678	350	land	estimate	Lago Zancudo / DepotFence; map preflight, live survey pending
M16.Helipad	-2155.000	3220.000	32.810	30	land	estimate	Fort Zancudo / Helipad; map preflight, live survey pending
M16.CargobobSpawn	-2135.000	3260.000	31.820	150	land	estimate	Fort Zancudo / CargobobSpawn; map preflight, live survey pending
M16.CanyonRun	-785.30	4420.10	155.80	90	air	bible	Raton Canyon
M16.TerminalDrop	1030.00	-3060.00	5.00	180	land	estimate	Terminal / TerminalDrop; map preflight, live survey pending
M17.DrySlip	160.000	-2983	5.914	90	land	estimate	Elysian Island / DrySlip; map preflight, live survey pending
M17.WeldOne	160.000	-2973	5.914	90	land	estimate	Elysian Island / WeldOne; map preflight, live survey pending
M17.WeldTwo	160.000	-2978	5.914	90	land	estimate	Elysian Island / WeldTwo; map preflight, live survey pending
M17.WeldThree	160.000	-2983	5.914	90	land	estimate	Elysian Island / WeldThree; map preflight, live survey pending
M18.ChannelMark	1100.000	-3380.000	0.000	180	water	estimate	Terminal / ChannelMark; map preflight, live survey pending
M18.SaltHangar	1060	-3220	5.9	90	land	estimate	Terminal / SaltHangar; map preflight, live survey pending
M18.HaulerMark	1090	-3230	5.9	180	land	estimate	Terminal / HaulerMark; map preflight, live survey pending
M19.DiveStart	1126.000	-3410.000	0.000	0	water	estimate	Terminal hull-side preview; actual model bounds resolve runtime positions; CodeWalker checked, live survey pending
M19.HullBreach	1126.000	-3420.000	-8.000	0	water	estimate	Pacific Ocean / Terminal hull-side preview; actual model bounds resolve runtime positions; CodeWalker checked, live survey pending
M19.ClampOne	1126.000	-3416.000	-8.000	0	water	estimate	Pacific Ocean / Terminal hull-side preview; actual model bounds resolve runtime positions; CodeWalker checked, live survey pending
M19.ClampTwo	1126.000	-3424.000	-8.000	0	water	estimate	Pacific Ocean / Terminal hull-side preview; actual model bounds resolve runtime positions; CodeWalker checked, live survey pending
M19.Surface	1126.000	-3420.000	0.000	0	water	estimate	Pacific Ocean / Terminal hull-side preview; actual model bounds resolve runtime positions; CodeWalker checked, live survey pending
M20.HoverPoint	1050.00	-3330.00	35.00	180	air	estimate	Terminal
M20.DeckGunners	1080.00	-3190.00	6.00	0	land	estimate	Terminal
M20.ClimbOut	1240.00	-3420.00	80.00	20	air	estimate	Pacific Ocean
M21.LaunchSpawn	1140.000	-3380.000	0.000	180	water	estimate	Terminal outer escort basin; CodeWalker checked, live survey pending
M21.Breakwater	1320.00	-3520.00	0.00	20	water	estimate	Pacific Ocean
M21.RidgeCross	900.00	1200.00	260.00	0	air	estimate	Galileo Park
