id	tier	technique	note
M01	Green	direct	Ped/vehicle spawns, firefight, scripted escape. Built.
M02	Green	direct	Freeway intercept on live traffic AI. Built.
M03	Yellow	fake	Uncoupling a 40-car freight train is not exposed to script. Freeze a train at a junction and blip it as "blockade"; the depot raid and hauler defence are Green.
M04	Green	direct	Garage firefight plus subway pursuit. Trains on the line are a hazard, not a system.
M05	Yellow	fake	Sea-cave interior needs an MLO or a substitute (existing Paleto cave). Cliff sniping, flare drops and the boat chase are Green.
M06	Green	direct	Depot breach, alley hold, reverse extraction. Interior is an MLO or a walled-off exterior yard.
M07	Yellow	fake	Climbing a mast has no animation set; use a ladder-and-teleport with a camera cut. Drone is a Buzzard at altitude. BASE jump is Green.
M08	Green	direct	Forklift is drivable; crate load is a hold-zone objective plus a prop attach.
M09	Yellow	fake	Landing skids on a moving truck roof is unreliable physics. Slow the convoy to a stop off-camera, or attach the heli to the truck for the beat.
M10	Green	direct	Escort with a speed floor, RPG from the bed, PIT manoeuvres. The campaign's best Green set piece.
M11	Green	direct	Static workshop scene; dyno is a UI meter over a frozen vehicle.
M12	Yellow	fake	ROV drone: use a submersible with a locked camera, or a camera-only "drone mode" with no vehicle at all.
M13	Green	direct	Limpet charges on boats, then detonate. Straight explosive work.
M14	Green	direct	Hangar theft and a low-altitude run. SAMs are scripted rockets from fixed points.
M15	Yellow	fake	Maintenance vault interior needs an MLO; the tranquilliser takedowns and splice are Green.
M16	Green	direct	Zancudo is already hostile territory; Cargobob theft is stock.
M17	Green	direct	Static customisation scene, same pattern as M11.
M18	Green	direct	Staging: park three vehicles, play the countdown speech.
M19	Yellow	fake	Underwater cutting: hold-zone objective with particle effects. Container "rising" is a spawned prop moved on a curve.
M20	Red	set piece	Cargobob winch on a 30-ton container under AA fire. The winch works; the weight does not. Attach the container to the heli and script the flight path with the player in gunner role.
M21	Green	direct	Boat escort with flares and hostile launches.
M22	Yellow	fake	Container drop is a prop teleport. The cruise-missile strike on the foundry is a cutscene: fade, explosion, smoke column prop.
M23	Green	direct	Bunker clear-out. Interior is an MLO or the existing Senora structures.
M24	Yellow	fake	Crane dredging: hold-zone plus a prop rising out of the water on a timer.
M25	Green	direct	Bridge sniping and a river extraction.
M26	Green	direct	Duster dogfight; weaponised biplanes exist in stock content.
M27	Red	set piece	Plane-to-plane boarding at 8,000 ft with zero-G interior combat. Fake in three cuts: matched flight (attach player plane to the jet's path), a cut to a static interior standing in for the cabin, then a scripted bail-out. Do not attempt physical zero-G AI.
M28	Green	direct	Tower climb and EMP splice; same ladder-and-cut technique as M07.
M29	Yellow	fake	Truck onto a moving flatbed: freeze the train at speed 0 with a moving-camera illusion, or attach the truck once it is close.
M30	Green	direct	Downhill trophy-truck run under helicopter fire.
M31	Green	direct	Mines and turrets: proximity checks plus scripted explosions. CIWS is a scripted turret.
M32	Yellow	fake	Underwater intake infiltration needs an interior; the warhead cases are props.
M33	Green	direct	Salt-flat ambush and rescue. Smoke is a particle effect.
M34	Green	direct	Sandstorm escort with a turret. Weather is settable; the rockslide is a scripted explosion plus prop swap.
