id	number	kind	type	owner	insert_after	prerequisite	audio_dir	assembly	class_name	title	act	location	time	weather	hud	synopsis
M01	1	main	Trio				audio/Act1/M01			GHOST IN THE DOCKYARD	Act I	Terminal Island Dry-Docks	02:00 HRS	Clear / Night	Infiltrate Terminal Island as Ice, Gohan, and Guess.	Ice snipes from crane #4; Gohan infiltrates superyacht The Mariana; Guess hotwires a $3M prototype supercar in warehouse bay 2. A dropped radio callsign triggers mutual recognition. The 90-second hesitation allows target Mateo Cifuentes to escape onto an armored naval launch while surveillance servers capture their faces. Guess rams security gates to extract Ice and Gohan.
M02	2	main	Trio			M01	audio/Act1/M02			LOOSE STRANDS	Act I	East Los Santos / Olympic Fwy	05:30 HRS	Foggy Sunrise	Intercept Aegis comm-van before biometric cloud upload completes (Timer: 03:00).	Gohan traces an Aegis mobile surveillance van broadcasting their biometrics to downtown police and cartel servers. Guess matches speed at 75 MPH on the Olympic Freeway while Gohan fires an EMP dart to stall the drivetrain. Ice breaches the rear doors to seize server drives and capture the technician.
M03	3	main	Trio			M02	audio/Act1/M03			CYPRESS FOUNDRY	Act I	Cypress Flats / Murrieta Fields	14:00 HRS	Overcast Industrial	Establish joint operations hub; raid Murrieta illegal arms depot.	Guess uncouples a 40-car freight train in Davis to seal police response routes. Ice and Gohan breach a cartel container depot in Murrieta Oil Fields, hoisting an armored container filled with server racks, body armor, and military rifles onto a heavy hauler and defending it back to Cypress Flats.
M04	4	main	Trio			M03	audio/Act1/M04			SEVERED WIRE	Act I	Pillbox Hill / Textile City	22:00 HRS	Thunderstorm	Neutralize corrupt Det. Miller in underground parking garage.	Corrupt LSPD Detective Miller meets an Aegis handler inside an underground Pillbox parking garage to sell the dry-dock forensics. Gohan activates Thermal Pulse to navigate in the dark and cuts the sub-station breaker. Miller flees into the Metro subway tunnel; Guess chases him across active subway rails until Miller crashes in Textile City.
M05	5	main	Trio			M04	audio/Act1/M05			TIDAL LOCK	Act I Finale	Palomino Highlands Shoreline	03:30 HRS	Storm / Breakers	Tri-modal assault on Mateo Cifuentes's offshore sea cave.	Ice snipes cave floodlights and generators from clifftops; Guess circles in an ultralight scout plane dropping magnesium illumination flares; Gohan breaches the flooded grotto in a stealth dinghy. High-seas boat chase ends with Mateo cornered on a sandbar, revealing Aegis Tactical orchestrated the setup to trigger a statewide martial law contract.
M06	6	main	Trio			M05	audio/Act1/M06			CLEAN SWEEP	Act I	Vespucci Canals LSPD Depot	01:30 HRS	Fog / Rain	Infiltrate LSPD evidence vault and destroy biometric backup servers.	Gohan crawls through canal drainage culverts, severing the 480V feeder line with plasma shears. Ice breaches the sally port, holding off SWAT in the alley with tear gas and an LMG while Gohan melts server racks with magnesium thermite. Guess backs the armored Granger through police cruisers to extract the crew.
M07	7	main	Trio			M06	audio/Act1/M07			WIRETAP WALTZ	Act I	Rockford Hills / Pillbox	11:30 HRS	Clear / High Noon	Climb cell tower to tap Aegis microwave dish; evade combat drone.	Guided by Gohan's drone, Ice scales an antenna mast atop a Rockford Hills garage to mount a packet sniffer, uncovering manifests detailing two experimental turbine engines heading to Paleto Bay. An Aegis minigun drone scrambles; Ice BASE-jumps into traffic, landing directly behind Guess's speeding sedan.
M08	8	main	Trio			M07	audio/Act1/M08			SUPPLY & SEVER	Act I	Port of Los Santos Elysian Island	16:45 HRS	Overcast Industrial	Infiltrate Elysian warehouse and steal twin military turbine engines.	Gohan loops security camera feeds. Ice drops sentries with a suppressed pistol. Guess operates a heavy industrial forklift to load two 700-HP turbine engine crates onto a flatbed hauler while Ice destroys an Aegis patrol technical with a grenade launcher.
M09	9	main	Trio			M08	audio/Act1/M09			ROLLING THUNDER	Act I	Grand Senora Desert / Route 68	19:30 HRS	Dusk / Heat Shimmer	Aerial shadow of Col. Vance's convoy; extract IFF transponder.	Guess pilots a Frogger chopper low along Route 68 ridgelines. Ice snipes the rear escort driver near Raton Pass, stalling the vehicle. Guess touches helicopter skids directly onto the disabled truck roof, allowing Ice to rip out the military IFF clearance transponder (code 7-Echo-Victor).
M10	10	main	Trio			M09	audio/Act1/M10			OPEN THROTTLE	Act I Midpoint	Del Perro Fwy / Tataviam	23:00 HRS	Rain / Night	Combat escort gauntlet with stolen engines (Speed Floor: 80 MPH).	Guess drives the flatbed carrying turbine engines at 95+ MPH. Ice fires an RPG from the bed while Gohan discharges EMP bursts at cartel motorbikes. Ice snipes an Aegis Buzzard's tail rotor over Tataviam bridge; Guess PIT-maneuvers a roadblock SUV off the bridge.
